Tecnicas reales Velociraptor																			
TEC-001 a TEC-009; ejecucion real 24/06; filas fuera de ventana excluidas.																			
																			
TEC_ID	MITRE	tecnica	tactica	runner	inicio	fin	duracion_seg	estado_ejecucion	Sysmon_events	PowerShell_4104	System_7045	visibilidad_sistema	visibilidad_velociraptor	deteccion_vr	perfil_max_vr	alerta_externa_jsonl_discord	evidencia_principal	observaciones	limitaciones
TEC-001	T1059.001	PowerShell	Execution	C:\Users\seguridad\Desktop\TFM\03_RUNNERS\TFM_Run_All_TEC_Tests_v6_PATCHED_4104.ps1	2026-06-24T12:50:48.978Z	2026-06-24T12:50:56.109Z	7.13	OK	4	3	0	SI	SI	SI_CLIENT_EVENT	P2	NO_JSONL_DISCORD_VALIDO_LOCALIZADO	Command A ExitCode=0; Command B ExitCode=0; Stdout=TEC001_BASE64_OK | TEC001_IEX_OK	PowerShell execution evidence generated for CU-001.	
TEC-002	T1059.003	Windows Command Shell	Execution	C:\Users\seguridad\Desktop\TFM\03_RUNNERS\TFM_Run_All_TEC_Tests_v6_PATCHED_4104.ps1	2026-06-24T12:51:04.050Z	2026-06-24T12:51:06.771Z	2.72	OK	4	1	0	SI	SI	SI_CLIENT_EVENT	P2	NO_JSONL_DISCORD_VALIDO_LOCALIZADO	ExitCode=0; Stdout=TEC002_OK | lt29\seguridad | | Handles NPM(K) PM(K) WS(K) CPU(s) Id SI ProcessName | ------- ------ ----- ----- ------ -- -- ----------- | 430 24 31304 7368 4,78 3568 1 AnyDesk | 507 30 29460 3708 8,31 4204 0 AnyDesk | 352 19 4328 744 0,59 4192 0 armsvc | 321 27 105508 160760 88,61 876 1 chrome | 207 17 17236 30132 0,23 6296 1 chrome | 369 21 18084 40308 5,19 6656 1 chrome | 1524 59 76692 173600 43,91 9688 1 chrome | 170 12 9872 18940 0,17 9708 1 chrome | 341 23 19892 45004 79,33 9908 1 chrome | 180 10 6908 9372 0,09 11104 1 chrome | 78 5 4464 4388 0,00 2156 1 cmd | 241 13 3724 808 0,16 5532 1 cmd | 242 13 3668 14196 0,17 5760 1 cmd | 78 5 4308 4116 0,02 14220 1 cmd | 193 13 7816 19508 13,36 4072 1 conhost | 191 12 8632 19060 0,20 4320 1 conhost | 104 7 6328 468 3,25 9212 1 conhost | 266 14 5592 19572 3,89 10664 1 conhost | 191 12 8740 6032 1,09 13172 1 conhost | 822 2...	Windows command shell evidence with PowerShell child process.	
TEC-003	T1053.005	Scheduled Task	Execution / Persistence	C:\Users\seguridad\Desktop\TFM\03_RUNNERS\TFM_Run_All_TEC_Tests_v6_PATCHED_4104.ps1	2026-06-24T12:51:15.889Z	2026-06-24T12:51:23.114Z	7.23	OK	6	0	0	SI	SI	SI_CLIENT_EVENT	P2	NO_JSONL_DISCORD_VALIDO_LOCALIZADO	CreateExit=0; QueryExit=0; RunExit=0; DeleteExit=0	Scheduled task lifecycle generated; run/delete may be noisy but create is primary evidence.	
TEC-004	T1547.001	Registry Run Key	Persistence / Privilege Escalation	C:\Users\seguridad\Desktop\TFM\03_RUNNERS\TFM_Run_All_TEC_Tests_v6_PATCHED_4104.ps1	2026-06-24T12:51:33.772Z	2026-06-24T12:51:38.869Z	5.1	OK	5	0	0	SI	SI	SI_CLIENT_EVENT	P1	NO_JSONL_DISCORD_VALIDO_LOCALIZADO	AddExit=0; QueryExit=0; DeleteExit=0	Run Key persistence evidence generated without relying on lab paths as detector IOC.	
TEC-005	T1569.002	Service Execution	Execution / Persistence	C:\Users\seguridad\Desktop\TFM\03_RUNNERS\TFM_Run_All_TEC_Tests_v6_PATCHED_4104.ps1	2026-06-24T12:51:51.408Z	2026-06-24T12:52:00.664Z	9.26	OK	6	0	4	SI	SI	SI_CLIENT_EVENT	P1	NO_JSONL_DISCORD_VALIDO_LOCALIZADO	CreateExit=0; QueryExit=0; StartExit=1053; DeleteExit=0	Service creation is primary evidence; start failure is expected for cmd.exe service wrapper.	
TEC-006	T1518.001	Security Software Discovery	Discovery	C:\Users\seguridad\Desktop\TFM\03_RUNNERS\TFM_Run_All_TEC_Tests_v6_PATCHED_4104.ps1	2026-06-24T12:52:15.076Z	2026-06-24T12:52:20.590Z	5.51	OK	2	2	0	SI	SI	SI_CLIENT_EVENT	P2	NO_JSONL_DISCORD_VALIDO_LOCALIZADO	PowerShellExit=0; WMICExit=0; PowerShellStdout=displayName productState | ----------- ------------ | Windows Defender 397568	Security software discovery evidence generated; WMIC may be absent/deprecated.	
TEC-007	T1486	Data Encrypted for Impact	Impact	C:\Users\seguridad\Desktop\TFM\03_RUNNERS\TFM_Run_All_TEC_Tests_v6_PATCHED_4104.ps1	2026-06-24T12:52:35.781Z	2026-06-24T12:53:14.950Z	39.17	OK	9	4	0	SI	SI	SI_CLIENT_EVENT	P1	NO_JSONL_DISCORD_VALIDO_LOCALIZADO	EnumExit=0; RansomExit=0; .aesCount=25	Simulacion controlada de cifrado para impacto; no ransomware real. Controlled encryption generated .aes evidence.	
TEC-008	T1485	Data Destruction	Impact	C:\Users\seguridad\Desktop\TFM\03_RUNNERS\TFM_Run_All_TEC_Tests_v6_PATCHED_4104.ps1	2026-06-24T12:53:28.420Z	2026-06-24T12:53:57.736Z	29.32	OK	4	3	0	SI	SI	SI_CLIENT_EVENT	P1	NO_JSONL_DISCORD_VALIDO_LOCALIZADO	ExitCode=0; FilesBefore=50; FilesAfter=0	Borrado controlado de ficheros dummy; Sysmon ID 26 es evidencia forense, no alerta individual. Controlled destructive deletion executed; Sysmon ID 26 remains forensic context, not individual alert.	
TEC-009	T1074.001 T1560.001 T1048.003	Staging / ZIP / Controlled HTTP Upload	Collection / Exfiltration	C:\Users\seguridad\Desktop\TFM\03_RUNNERS\TFM_Run_All_TEC_Tests_v6_PATCHED_4104.ps1	2026-06-24T12:54:06.799Z	2026-06-24T12:54:54.940Z	48.14	OK	7	1	0	SI	SI	SI_CLIENT_EVENT	P1	NO_JSONL_DISCORD_VALIDO_LOCALIZADO	ReceiverReachable=True; HTTPStatus=200; UploadSucceeded=True; Zip=C:\Users\seguridad\Desktop\TFM\01_ACTIVE_TESTS\Pruebas\TEC-009_Exfiltracion\staging_controlled\tec009_controlled_archive.zip; ZipCopy=C:\Users\seguridad\Desktop\TFM\01_ACTIVE_TESTS\Pruebas\TEC-009_Exfiltracion\staging_controlled\tec009_controlled_archive_copy.zip; SHA256=31e202c49811f354b51162baecb4ed174e4b0f0805c50c9f91c9f7ec5f642a59; Summary=C:\Users\seguridad\Desktop\TFM\01_ACTIVE_TESTS\Pruebas\TEC-009_Exfiltracion\staging_controlled\tec009_transfer_summary.json; ZipCount=6; PS4104=1; EvidenceCheckFailures=0; EvidenceCheckWarnings=0	HTTP 200/UploadSucceeded/ZIP/SHA256/bytes en ReceiverResponse. Controlled HTTP ZIP upload completed.	receiver_log.jsonl y ZIP recibido no localizados; no se afirma exfiltracion contextual completa sin matiz.
