FileName,FullPath,SizeBytes,LastWriteTime,SHA256,WorkbookStatus,SourceWorkbook,EvidenceRoot,SheetCount,ChartCount,FormulaErrors,OpenXMLStatus,ExcelCOMStatus,ReopenStatus,AuditStatus
"TFM_VISIBILIDAD_DETECCION_FP_WAZUH_DEFINITIVO_20260712.xlsx","C:\Users\julio\Desktop\TFM\08_MEMORIA\ENTREGABLE\TFM_VISIBILIDAD_DETECCION_FP_WAZUH_DEFINITIVO_20260712.xlsx",316711,"2026-07-13 00:33:59 +02:00","A4BD6E0752E74B7948022A958FD7A3BFB37ACD7F95B8B84F0FC087B7E008B2E0","DEFINITIVO","C:\Users\julio\Desktop\TFM\08_MEMORIA\ENTREGABLE\BACKUP_ANTES_CIERRE_EXCELES_20260712\TFM_VISIBILIDAD_DETECCION_FP_WAZUH_FINAL_26062026.xlsx","C:\Users\julio\Desktop\TFM\04_EVIDENCE\PRUEBAS_CON_ARTIFACTS_PUBLICOS",31,11,0,"VALIDO: ZIP/XML/REF/series/tablas","VALIDO: calculo automatico y CalculateFullRebuild","OK: solo lectura, sin reparacion","APTO"
"TFM_BENCHMARK_RENDIMIENTO_VELOCIRAPTOR_DEFINITIVO_20260712.xlsx","C:\Users\julio\Desktop\TFM\08_MEMORIA\ENTREGABLE\TFM_BENCHMARK_RENDIMIENTO_VELOCIRAPTOR_DEFINITIVO_20260712.xlsx",255393,"2026-07-13 00:34:04 +02:00","C2255C2563AACFA7F8CA56496EAE934843C411D89011539B9D167F8A13BE93D0","DEFINITIVO","C:\Users\julio\Desktop\TFM\08_MEMORIA\ENTREGABLE\BACKUP_ANTES_CIERRE_EXCELES_20260712\TFM_BENCHMARK_RENDIMIENTO_VELOCIRAPTOR_FINAL_26062026.xlsx","C:\Users\julio\Desktop\TFM\04_EVIDENCE\ENTREGA_MEMORIA_EXCELES_REGENERADOS",11,6,0,"VALIDO: ZIP/XML/REF/series","VALIDO: calculo automatico y CalculateFullRebuild","OK: solo lectura, sin reparacion","APTO"
