ruta,filas,real,fp,fuera,sin_tiempo,min,max
05_LOGS\Validas\Prueba_24_06_2026\TEC009_HTTP_Upload_Sysmon_Process_Context-2026-06-23T12_00_00Z-2026-06-24T12_00_00Z-C.364907172793f8c7.csv,31,2,0,29,0,2026-06-17T18:52:48.631Z,2026-06-24T12:54:20.862Z
05_LOGS\Validas\Prueba_24_06_2026\TEC009_HTTP_ZIP_Upload_4104-2026-06-23T12_00_00Z-2026-06-24T12_00_00Z-C.364907172793f8c7.csv,9,1,0,8,0,2026-06-17T18:53:58.937Z,2026-06-24T12:54:37.369Z
05_LOGS\Validas\Prueba_24_06_2026_FP\CU001_Source_TEC001_PowerShell_Basic-2026-06-25T12_00_00Z-2026-06-26T12_00_00Z-C.364907172793f8c7.csv,476,38,10,428,0,2026-06-18T11:38:05.539Z,2026-06-26T08:20:00.476Z
05_LOGS\Validas\Prueba_24_06_2026_FP\CU002_Source_TEC002_CMD_Basic-2026-06-25T12_00_00Z-2026-06-26T12_00_00Z-C.364907172793f8c7.csv,863,78,10,775,0,2026-06-18T11:38:05.370Z,2026-06-26T08:19:50.025Z
05_LOGS\Validas\Prueba_24_06_2026_FP\CU003_Source_TEC003_ScheduledTask_Basic-2026-06-25T12_00_00Z-2026-06-26T12_00_00Z-C.364907172793f8c7.csv,169,8,6,155,0,2026-06-18T11:38:05.396Z,2026-06-26T08:19:52.691Z
05_LOGS\Validas\Prueba_24_06_2026_FP\CU004_Source_TEC004_RunKeys_Basic-2026-06-25T12_00_00Z-2026-06-26T12_00_00Z-C.364907172793f8c7.csv,99,8,0,91,0,2026-06-18T11:38:05.490Z,2026-06-26T08:17:54.119Z
05_LOGS\Validas\Prueba_24_06_2026_FP\CU005_Source_TEC005_ServiceCreation_7045-2026-06-23T12_00_00Z-2026-06-24T12_00_00Z-C.364907172793f8c7 (1).csv,8,1,0,7,0,2026-06-19T10:05:11.289Z,2026-06-24T12:51:51.589Z
05_LOGS\Validas\Prueba_24_06_2026_FP\Forensic_EVENT_PowerShell4104_Strong_By_Technique-2026-06-25T12_00_00Z-2026-06-26T12_00_00Z-C.364907172793f8c7.csv,125,4,11,110,0,2026-06-19T10:02:51.422Z,2026-06-26T08:19:54.407Z
05_LOGS\Validas\Prueba_24_06_2026_FP\Forensic_EVENT_Sysmon_ID1_Process_By_Technique-2026-06-25T12_00_00Z-2026-06-26T12_00_00Z-C.364907172793f8c7.csv,1445,108,18,1319,0,2026-06-18T11:37:07.219Z,2026-06-26T08:26:30.640Z
05_LOGS\Validas\Prueba_24_06_2026_FP\Forensic_EVENT_System_7045_ServiceCreation-2026-06-23T12_00_00Z-2026-06-24T12_00_00Z-C.364907172793f8c7.csv,8,1,0,7,0,2026-06-19T10:05:11.289Z,2026-06-24T12:51:51.589Z
05_LOGS\Validas\Prueba_24_06_2026_FP\P1_EVENT_TEC009_Sysmon_Context-2026-06-23T12_00_00Z-2026-06-24T12_00_00Z-C.364907172793f8c7.csv,20,4,0,16,0,2026-06-18T11:42:02.689Z,2026-06-24T12:54:21.811Z
05_LOGS\Validas\Prueba_24_06_2026_FP\TEC001_PowerShell_4104-2026-06-23T12_00_00Z-2026-06-24T12_00_00Z-C.364907172793f8c7.csv,14,2,0,12,0,2026-06-19T10:04:15.478Z,2026-06-24T12:54:37.594Z
05_LOGS\Validas\Prueba_24_06_2026_FP\TEC002_CMD_Sysmon-2026-06-25T12_00_00Z-2026-06-26T12_00_00Z-C.364907172793f8c7.csv,607,54,8,545,0,2026-06-18T11:38:05.521Z,2026-06-26T08:19:50.025Z
05_LOGS\Validas\Prueba_24_06_2026_FP\TEC003_ScheduledTask_Sysmon-2026-06-25T12_00_00Z-2026-06-26T12_00_00Z-C.364907172793f8c7.csv,245,16,6,223,0,2026-06-18T11:38:05.370Z,2026-06-26T08:19:52.691Z
05_LOGS\Validas\Prueba_24_06_2026_FP\TEC004_RunKey_Sysmon-2026-06-25T12_00_00Z-2026-06-26T12_00_00Z-C.364907172793f8c7.csv,136,12,0,124,0,2026-06-18T11:38:05.474Z,2026-06-26T08:17:54.119Z
05_LOGS\Validas\Prueba_24_06_2026_FP\TEC005_Service_System7045-2026-06-23T12_00_00Z-2026-06-24T12_00_00Z-C.364907172793f8c7.csv,8,1,0,7,0,2026-06-19T10:05:11.289Z,2026-06-24T12:51:51.589Z
05_LOGS\Validas\Prueba_24_06_2026_FP\TEC006_SecuritySoftwareDiscovery_4104-2026-06-25T12_00_00Z-2026-06-26T12_00_00Z-C.364907172793f8c7.csv,112,2,11,99,0,2026-06-19T10:02:51.422Z,2026-06-26T08:19:54.407Z
05_LOGS\Validas\Prueba_24_06_2026_FP\TEC006_SecuritySoftwareDiscovery_Sysmon-2026-06-25T12_00_00Z-2026-06-26T12_00_00Z-C.364907172793f8c7.csv,176,10,0,166,0,2026-06-18T11:39:51.079Z,2026-06-26T08:26:00.085Z
05_LOGS\Validas\Prueba_24_06_2026_FP\TEC007_DataEncryptedForImpact_4104-2026-06-23T12_00_00Z-2026-06-24T12_00_00Z-C.364907172793f8c7.csv,24,4,0,20,0,2026-06-19T10:06:01.908Z,2026-06-24T12:52:55.848Z
05_LOGS\Validas\Prueba_24_06_2026_FP\TEC008_DataDestruction_4104-2026-06-23T12_00_00Z-2026-06-24T12_00_00Z-C.364907172793f8c7.csv,8,1,0,7,0,2026-06-19T10:07:32.675Z,2026-06-24T13:17:36.899Z
05_LOGS\Validas\Prueba_24_06_2026_FP\TEC009_HTTP_Network_Sysmon_Context-2026-06-23T12_00_00Z-2026-06-24T12_00_00Z-C.364907172793f8c7.csv,20,4,0,16,0,2026-06-18T11:42:02.689Z,2026-06-24T12:54:21.811Z
05_LOGS\Validas\Prueba_24_06_2026_FP\TEC009_HTTP_Upload_Sysmon_Process_Context-2026-06-25T12_00_00Z-2026-06-26T12_00_00Z-C.364907172793f8c7.csv,29,2,2,25,0,2026-06-18T11:42:02.628Z,2026-06-26T08:20:00.476Z
05_LOGS\Validas\Prueba_24_06_2026_FP\TEC009_HTTP_ZIP_Upload_4104-2026-06-23T12_00_00Z-2026-06-24T12_00_00Z-C.364907172793f8c7.csv,7,1,0,6,0,2026-06-19T10:08:57.394Z,2026-06-24T12:54:37.369Z
