"Path","Kind","ChangedParts","ProjectRoot","WindowsUserRoot","LinuxUserRoot","DiscordWebhook","PrivateIPv4","SHA256"
"08_MEMORIA\ENTREGA_TFM_Julgarrei\Analisis_Tecnicas_TFM_Velociraptor.xlsx","OOXML","2","26","7","0","0","7","B0E6240061529FAD565F93748971F7E778F62429B4A9B1A29CEAB6073B59E3C1"
"08_MEMORIA\ENTREGA_TFM_Julgarrei\TFM_BENCHMARK_RENDIMIENTO.xlsx","OOXML","2","67","0","0","0","0","6B594DD8E71BC732153625732B91FDDE60CDEE642052F179B33752292F258BDE"
"08_MEMORIA\ENTREGA_TFM_Julgarrei\TFM.docx","OOXML","1","0","5","0","0","0","A593E39D030610E0D7D6D13C7BD92B550CABC80282166530DD4EFEF370F8CC9F"
"04_EVIDENCE\Excel_benchmark_26062026\TFM_BENCHMARK_RENDIMIENTO_VELOCIRAPTOR_FINAL_26062026.xlsx","OOXML","2","88","0","0","64","0","0F06C2551888FC6BD7F0367E9DA1C55C534D043B549E4B2F92FBE7C4BB3E6AEC"
"04_EVIDENCE\ENTREGA_MEMORIA_EXCELES_REGENERADOS\02_BENCHMARK_RENDIMIENTO_VALIDACION_DATOS_REGENERADO.xlsx","OOXML","1","844","0","0","64","0","15795122015ED9E18B0E23093FFD0CE1CF44508B8CC3EDDE1B01CD1C72162924"
"04_EVIDENCE\Excel_benchmark_26062026\benchmark_dataset.json","Text","1","0","0","0","64","0","FF46A8A4DBC19A52D395E7D54DBF98509CF1E468DE11B7F4BA47232DABBDFAFC"
"04_EVIDENCE\Excel_benchmark_26062026\normalized\process_samples.csv","Text","1","1614","0","0","64","0","ACADF803AA092BDEFCC1DB0822697334663314FC40D947AA2F27A7D45E2B78EE"
"10_WAZUH\Wazuh_dashboard.txt","Text","1","0","0","0","0","3","3F730A35134A8B263C1D5D63563964072FC8224D40554FEC23CE15DC95C50C47"
